year,to,from,points
1981,Austria,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,20
1981,Belgium,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,32
1981,Cyprus,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,63
1981,Denmark,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,41
1981,Finland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,27
1981,France,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,121
1981,Germany,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,130
1981,Greece,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,54
1981,Ireland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,100
1981,Israel,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,56
1981,Luxembourg,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,41
1981,Netherlands,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,51
1981,Norway,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,0
1981,Portugal,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,9
1981,Spain,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,38
1981,Sweden,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,43
1981,Switzerland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,109
1981,Turkey,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,6
1981,United Kingdom,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,126
1982,Austria,AustriaBelgiumCyprusDenmarkFinlandGermanyIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,53
1982,Belgium,AustriaBelgiumCyprusDenmarkFinlandGermanyIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,89
1982,Cyprus,AustriaBelgiumCyprusDenmarkFinlandGermanyIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,80
1982,Denmark,AustriaBelgiumCyprusDenmarkFinlandGermanyIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,5
1982,Finland,AustriaBelgiumCyprusDenmarkFinlandGermanyIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,0
1982,Germany,AustriaBelgiumCyprusDenmarkFinlandGermanyIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,149
1982,Ireland,AustriaBelgiumCyprusDenmarkFinlandGermanyIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,41
1982,Israel,AustriaBelgiumCyprusDenmarkFinlandGermanyIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,97
1982,Luxembourg,AustriaBelgiumCyprusDenmarkFinlandGermanyIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,78
1982,Netherlands,AustriaBelgiumCyprusDenmarkFinlandGermanyIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,8
1982,Norway,AustriaBelgiumCyprusDenmarkFinlandGermanyIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,40
1982,Portugal,AustriaBelgiumCyprusDenmarkFinlandGermanyIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,32
1982,Spain,AustriaBelgiumCyprusDenmarkFinlandGermanyIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,51
1982,Sweden,AustriaBelgiumCyprusDenmarkFinlandGermanyIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,65
1982,Switzerland,AustriaBelgiumCyprusDenmarkFinlandGermanyIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,87
1982,Turkey,AustriaBelgiumCyprusDenmarkFinlandGermanyIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,20
1982,United Kingdom,AustriaBelgiumCyprusDenmarkFinlandGermanyIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,70
1983,Austria,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,49
1983,Belgium,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,13
1983,Cyprus,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,20
1983,Denmark,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,16
1983,Finland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,41
1983,France,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,53
1983,Germany,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,94
1983,Greece,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,32
1983,Israel,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,126
1983,Italy,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,33
1983,Luxembourg,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,130
1983,Netherlands,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,61
1983,Norway,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,53
1983,Portugal,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,31
1983,Spain,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,0
1983,Sweden,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,125
1983,Switzerland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,21
1983,Turkey,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,0
1983,United Kingdom,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,79
1984,Austria,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,5
1984,Belgium,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,70
1984,Cyprus,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,19
1984,Denmark,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,95
1984,Finland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,43
1984,France,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,61
1984,Germany,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,34
1984,Ireland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,137
1984,Italy,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,70
1984,Luxembourg,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,31
1984,Netherlands,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,29
1984,Norway,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,29
1984,Portugal,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,31
1984,Spain,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,104
1984,Sweden,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,141
1984,Switzerland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,30
1984,Turkey,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,27
1984,United Kingdom,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,62
1985,Austria,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,60
1985,Belgium,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,7
1985,Cyprus,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,15
1985,Denmark,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,41
1985,Finland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,58
1985,France,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,56
1985,Germany,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,105
1985,Greece,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,15
1985,Ireland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,91
1985,Israel,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,93
1985,Italy,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,78
1985,Luxembourg,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,37
1985,Norway,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,123
1985,Portugal,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,9
1985,Spain,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,36
1985,Sweden,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,103
1985,Switzerland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,39
1985,Turkey,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,36
1985,United Kingdom,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,100
1986,Austria,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,12
1986,Belgium,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,156
1986,Cyprus,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,1
1986,Denmark,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,70
1986,Finland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,16
1986,France,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,13
1986,Germany,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,61
1986,Ireland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,80
1986,Israel,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,7
1986,Luxembourg,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,111
1986,Netherlands,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,38
1986,Norway,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,40
1986,Portugal,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,28
1986,Spain,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,45
1986,Sweden,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,59
1986,Switzerland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,131
1986,Turkey,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,41
1986,United Kingdom,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandIsraelLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,72
1987,Austria,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,8
1987,Belgium,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,52
1987,Cyprus,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,64
1987,Denmark,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,76
1987,Finland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,31
1987,France,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,40
1987,Germany,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,122
1987,Greece,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,58
1987,Ireland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,166
1987,Israel,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,68
1987,Italy,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,88
1987,Luxembourg,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,4
1987,Netherlands,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,75
1987,Norway,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,65
1987,Portugal,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,15
1987,Spain,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,10
1987,Sweden,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,42
1987,Switzerland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,21
1987,Turkey,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,0
1987,United Kingdom,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,45
1988,Austria,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,0
1988,Belgium,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,5
1988,Denmark,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,82
1988,Finland,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,3
1988,France,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,52
1988,Germany,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,32
1988,Greece,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,10
1988,Ireland,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,77
1988,Israel,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,78
1988,Italy,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,47
1988,Luxembourg,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,83
1988,Netherlands,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,63
1988,Norway,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,73
1988,Portugal,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,5
